segment,cluster_id,cluster_claim,num_texts,error,model_used
Pro-Energy,Pro-Energy_14,"Government energy and regulatory policies disproportionately harm small businesses, rural communities, and working families while failing to deliver meaningful benefits.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_19,The U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_24,Renewable energy projects reduce the need for higher property taxes by generating significant local revenue.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_30,The oil and gas industry significantly benefits public education and workforce development.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_31,Trump’s energy policies prioritize the fossil fuel industry over renewable alternatives.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_33,Renewable energy leasing provides farmers with a sustainable and economically beneficial way to preserve their land and livelihoods.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_34,Investing in clean and renewable energy is essential for achieving American energy independence and economic growth.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_35,Nuclear energy is the most viable solution for meeting future global energy demands while reducing carbon emissions.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_36,Hydrogen energy is the most critical solution for achieving global net-zero emissions and future energy dominance.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_38,Iowa's transition to renewable energy has driven economic growth while lowering costs and improving public health.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_39,Federal subsidies for renewable energy should be eliminated to protect the economic interests of the oil and natural gas industry.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_41,Renewable energy is essential for achieving true American energy independence.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_42,Offshore wind is the most viable path to a sustainable and economically beneficial energy future.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_44,Expanding domestic oil and gas production is essential for U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_48,The oil and gas industry prioritizes profit over public safety and environmental responsibility.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_5,South Dakota must reject government-backed efforts to seize private property for Green New Deal projects.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_50,Taxpayer money should not subsidize fossil fuel companies.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_51,"Trump’s ""drill, baby, drill"" policy failed to increase domestic oil production or lower gas prices.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_54,The Trump administration’s environmental policies prioritize corporate interests over public health and ecological protection.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_57,Public lands should be protected from fossil fuel extraction rather than exploited for corporate profit.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_58,"Protecting the Arctic from oil and gas drilling is necessary to preserve its ecosystems, Indigenous communities, and global climate.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_8,"Kamala Harris is a dangerous, hypocritical radical whose policies and leadership would harm America.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_100,Fossil fuel industries should be banned from advertising and sponsorship due to their role in climate harm.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_102,Switching to heat pumps is the most efficient and sustainable way to heat and cool buildings.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_109,The Inflation Reduction Act is a necessary and effective policy for advancing climate action and economic benefits.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_11,Protecting children from the health and educational harms of climate change requires urgent collective action.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_110,Human activity driven by fossil fuel emissions is directly worsening the frequency and severity of climate-related disasters.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_112,Corporate power is weaponizing the legal system to silence environmental and Indigenous activism.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_113,Human-caused climate change is directly increasing the frequency and severity of extreme weather events.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_114,A rapid transition to renewable energy and electrification is the only way for Europe to achieve true energy security.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_115,Fossil fuel companies should be held financially responsible for the climate damages they have knowingly caused.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_117,The fossil fuel industry exerts undue influence over political leaders to suppress climate change awareness and policy.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_12,"Federal funding for electric school buses improves children's health, reduces pollution, and lowers long-term costs for schools.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_120,"Corporations, not the public, should be held financially responsible for climate damages.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_121,Major fossil fuel corporations deliberately deceived the public to delay climate action and evade accountability.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_126,"Investing in clean energy drives economic growth, job creation, and energy independence.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_127,Michigan is the national leader in driving the clean energy economy and technological innovation.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_128,"Battery energy storage systems are essential for creating a reliable, resilient, and sustainable energy grid.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_129,Renewable energy is a more cost-effective and reliable alternative to fossil fuels for powering the electrical grid.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_13,"Investing in public transit improves environmental, economic, and public health outcomes.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_130,Federal investments in clean energy drive economic growth and job creation while reducing pollution.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_133,Federal clean energy tax credits deliver economic and social benefits that justify their support.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_134,Voting to cut clean energy investments prioritizes tax cuts for the wealthy over job creation and domestic energy production.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_135,Solar energy should replace fossil fuels as the world's primary power source.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_136,Solar power is the most viable and adaptable solution for a sustainable energy future.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_137,Renewable energy projects provide significant economic benefits to rural communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_138,Solar farms provide significant economic benefits to local communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_139,Homeowners should act immediately to take advantage of limited-time solar incentives that eliminate upfront costs and significantly reduce energy bills.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_140,Leasing solar panels through government-subsidized programs is a better financial option for homeowners than purchasing them outright.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_141,"Renewable energy provides the most sustainable and beneficial path forward for Iowa's economy, environment, and communities.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_142,Renewable energy projects provide essential economic and generational benefits for farmers and rural communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_143,Agrivoltaics provides a sustainable and economically viable way to simultaneously produce food and renewable energy on the same land.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_16,Sustainable aviation fuel is the most viable solution to decarbonize the aviation industry while driving economic growth.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_17,Ethanol should be widely adopted as a primary renewable fuel solution for America’s energy and environmental needs.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_18,"Hydrogen is a critical solution for achieving a sustainable, low-emission energy future.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_19,"Adopting electric vehicles provides significant economic, environmental, and energy system benefits.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_22,Cutting methane emissions is the most effective immediate strategy to slow climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_24,Climate change is destabilizing housing markets and exacerbating inequities in homeownership safety and affordability.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_26,The U.S.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_27,Climate change is causing coffee prices to rise significantly.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_28,Indigenous leadership and land rights are essential to effectively addressing the climate crisis.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_29,Mangroves are indispensable to environmental health and must be actively protected to combat climate change and preserve biodiversity.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_32,Switching to a climate-friendly bank is one of the most effective individual actions to reduce fossil fuel funding and combat climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_36,The Trump administration’s weakening of EPA protections increases public health risks and environmental harm.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_37,Collective action at the local and community level is the most effective way to address climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_39,Allowing fossil fuel development in the Arctic undermines climate goals and endangers critical ecosystems.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_40,Corporations responsible for climate pollution should be held financially accountable for the damages they cause.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_41,"Climate change is the primary driver of the increasing frequency, intensity, and destructiveness of wildfires.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_45,Addressing climate change requires both individual action and collective support to alleviate its mental health impacts.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_49,China's dominance in renewable energy is reshaping global energy markets and leadership.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_51,Human activity is driving a sixth mass extinction that demands immediate collective action to protect endangered species and their habitats.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_57,Corporate greenwashing systematically deceives consumers to protect profits while obstructing genuine environmental progress.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_58,Diverting organic waste from landfills is the most effective way to reduce methane emissions and combat climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_6,Climate change poses a severe and immediate threat to global public health.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_60,Optimizing energy systems through right-sized equipment and renewable sources significantly reduces costs and carbon emissions.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_62,"Protecting and sustainably managing ocean ecosystems is essential to combating climate change, ensuring food security, and preserving biodiversity.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_63,Partnering with credible institutions and adopting practical sustainability measures is the most effective way to achieve meaningful environmental progress.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_66,Individual actions collectively create meaningful environmental change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_70,Political opposition to clean energy policies undermines economic growth and climate progress.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_71,Political leaders who deny climate change deliberately suppress evidence to maintain power and avoid accountability.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_83,A fair and sustainable society requires dismantling systems that prioritize wealth accumulation over human and environmental well-being.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_85,"Pope Francis demonstrated that addressing climate change and social injustice requires confronting systemic greed, inequality, and political indifference.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_86,"Republicans prioritize political power and short-term interests over addressing climate change, even at the cost of human survival.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_87,"The modern Republican Party is defined by its embrace of conspiracy theories, authoritarianism, and moral corruption.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_88,Climate change will force unprecedented global migration and destabilize societies.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_9,Propane is a cleaner and more sustainable energy source than traditional fuels for residential and commercial use.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_93,"Societal progress requires rejecting leaders and ideologies that deny fundamental human rights, scientific reality, and moral accountability.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_94,Political leaders who prioritize fossil fuel profits over climate action will face condemnation from future generations.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_96,"A career in nuclear energy offers meaningful, well-paying opportunities that benefit both individuals and the environment.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_98,"The Republican-led legislation prioritizes corporate profits and fossil fuel dependence over climate action, public health, and economic stability for working families.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_99,Undermining climate science institutions is a deliberate strategy to enable environmental destruction by erasing evidence of climate change.,5,,mistral-large-2407
Neutral,Neutral_14,Corporate polluters disproportionately harm public health and should be held accountable to prevent avoidable suffering.,5,,mistral-large-2407
Neutral,Neutral_19,Sustainable aviation fuel is the most viable solution for decarbonizing the aviation industry.,5,,mistral-large-2407
Neutral,Neutral_37,Toyota’s marketing of its electrified vehicles misrepresents their environmental and financial benefits.,5,,mistral-large-2407
Neutral,Neutral_4,Current policies and political inaction are failing to adequately protect public lands from exploitation and privatization.,5,,mistral-large-2407
Neutral,Neutral_5,"Electing candidates with a proven commitment to Vermont families will advance a quality, affordable, and sustainable child care system.",5,,mistral-large-2407
Neutral,Neutral_51,Human activities are driving the rapid extinction of endangered wildlife species.,5,,mistral-large-2407
Neutral,Neutral_55,Modern work and household demands are unsustainable without significant reductions in labor expectations.,5,,mistral-large-2407
